Feature,Importance
iip_yoy_growth_lag1,0.2023385028305471
ALUMINUM_vol_3m,0.1192958444622764
COPPER_vol_6m,0.10008191617591461
RICE_05_volatility_3m,0.0958402887231964
ALUMINUM_mom_change,0.07721137386885038
CRUDE_PETRO_volatility_6m,0.06702575424841013
RICE_05_mom_change,0.05894002854832604
RICE_05_vol_6m,0.05468618093271466
COPPER_vol_3m,0.05092434182742526
CRUDE_PETRO_mom_change,0.03735170900902803
RICE_05_volatility_6m,0.03135779599383328
gdp_growth_yoy,0.017963613413919388
COPPER_mom_change,0.016155730144934072
COPPER_volatility_3m,0.011507820879461166
CRUDE_PETRO_volatility_12m,0.01053512060486531
betweenness_centrality,0.008254106019590353
wheat_volatility_x_linkage,0.007599215695614198
WHEAT_US_HRW_volatility_3m,0.007543107476930706
WHEAT_US_HRW_vol_6m,0.007035667531280544
WHEAT_US_HRW_vol_3m,0.006403172788137341
WHEAT_US_HRW_vol_12m,0.006173877440130502
ALUMINUM_volatility_3m,0.002934100894136514
CRUDE_PETRO_volatility_3m,0.0010143494749781494
oil_volatility_x_centrality,0.000746211003266047
CRUDE_PETRO_lag1,0.00033772144391968446
RICE_05_vol_3m,0.00024045733866961047
COPPER_vol_12m,0.00020494229897741753
CRUDE_PETRO_vol_3m,4.368890385033397e-05
WHEAT_US_HRW_mom_change,3.568220219015345e-05
WHEAT_US_HRW_lag1,3.233166913006822e-05
oil_shock_x_pagerank,2.1312231279634694e-05
WHEAT_US_HRW_x_backward,1.830150301441165e-05
month_sin,1.765855671652353e-05
pagerank,1.580352580290306e-05
RICE_05_shock_any,1.4416375994045817e-05
closeness_centrality,1.3490134940359001e-05
RICE_05_volatility_12m,1.3201096988635957e-05
eigenvector_centrality,1.2860331908944746e-05
ONI_lag_3m,1.2726687332847832e-05
degree_centrality,1.137391667875709e-05
forward_linkage,1.0011343949883438e-05
wpi_(a)__food_articles,8.243215780163798e-06
month_cos,4.448839390738745e-06
ONI_lag_6m,3.1821942920054204e-06
ALUMINUM_shock_negative,2.5972231396375944e-06
COPPER_shock_positive,2.423091402421232e-06
quarter,1.1275916061546695e-06
Month_num,8.63060673913087e-07
CRUDE_PETRO_shock_negative,3.2599046069279735e-07
forward_x_metal,2.2164934866221758e-07
ALUMINUM_shock,1.9641942703453056e-07
oil_shock_x_betweenness,1.7810020326494966e-07
CRUDE_PETRO_shock_any,1.4170415844081172e-07
oni_x_food,7.321527468727042e-08
COPPER_shock_negative,5.182023462093131e-08
backward_x_energy,4.156120361612531e-08
oni_x_energy,3.7683135811038534e-08
centrality_x_energy,3.7091157391283354e-08
g20_avg_cpi_growth,0.0
WHEAT_US_HRW_shock,0.0
CRUDE_PETRO_shock,0.0
ZAF,0.0
COPPER_shock,0.0
energy_trade_value,0.0
total_trade_value,0.0
AUS,0.0
CAN,0.0
KOR,0.0
SAU,0.0
WHEAT_US_HRW_shock_positive,0.0
CRUDE_PETRO_shock_positive,0.0
RICE_05_shock_positive,0.0
RICE_05_shock_negative,0.0
WHEAT_US_HRW_shock_negative,0.0
WHEAT_US_HRW_shock_any,0.0
centrality_x_food,0.0
ALUMINUM_shock_any,0.0
COPPER_shock_any,0.0
ALUMINUM_shock_positive,0.0
