Feature,VIF
q1,20699790.294507496
q2,20131711.844580524
q3,20130651.62021094
q4,20128618.366200127
financial_year,126.37438106635638
ALUMINUM_lag1,99.87213241446969
COPPER_lag1,97.40836903359869
Year,88.90793407292334
wpi_iii___manufactured_products,66.05537161245726
ALUMINUM_yoy_change,48.191766061160365
COPPER_yoy_change,44.830538932191835
wpi_ii_fuel_and_power,31.81930140534904
WHEAT_US_HRW_volatility_12m,25.380591251768827
ALUMINUM_volatility_12m,22.469075002190763
RICE_05_lag1,22.03185682534709
CRUDE_PETRO_vol_12m,19.813429599808224
ALUMINUM_volatility_6m,16.71898500070218
ALUMINUM_vol_12m,14.729875146736049
WHEAT_US_HRW_volatility_6m,14.46186661980006
COPPER_volatility_12m,13.374574729582868
RICE_05_vol_12m,13.326698393957178
CRUDE_PETRO_yoy_change,11.390236783186603
CRUDE_PETRO_vol_6m,11.337253234520063
WHEAT_US_HRW_yoy_change,11.006537518444654
COPPER_volatility_6m,10.484913853737272
RICE_05_yoy_change,10.465900812133565
ALUMINUM_vol_6m,10.413391305671091
month_cos,8.242754195957216
CRUDE_PETRO_volatility_6m,8.16871774437463
RICE_05_vol_6m,8.119627362181928
gdp_growth_yoy,7.888028777156685
month_sin,7.713422902912065
COPPER_vol_12m,7.31071423912152
ALUMINUM_mom_change,6.747149811646402
COPPER_vol_6m,6.206296861207525
Month_num,5.968284437142682
degree_centrality,5.475583163815686
ALUMINUM_volatility_3m,4.971201479535958
COPPER_mom_change,4.6426609126823015
betweenness_centrality,3.643216593901625
COPPER_volatility_3m,3.4276100141155497
COPPER_vol_3m,3.148393510280364
wheat_volatility_x_linkage,3.0939811834778257
CRUDE_PETRO_volatility_3m,3.0597884519939726
RICE_05_mom_change,2.942659382232189
ALUMINUM_vol_3m,2.939654477090878
forward_linkage,2.5441337060493927
RICE_05_volatility_3m,2.4016800773244493
WHEAT_US_HRW_mom_change,1.6743413816227088
pagerank,1.090061620624636
