feature,rf_importance,xgb_importance,avg_importance
iip_yoy_growth_lag1,0.4803952847652619,0.08904282,0.2847190524008366
WHEAT_US_HRW_x_backward,0.03626514411359138,0.022083187,0.029174165794695946
eigenvector_centrality,0.029307926118748467,0.019241072,0.024274499178120038
RICE_05_volatility_12m,0.01809688753666242,0.02548522,0.021791053485283055
degree_centrality,0.017205870429624508,0.026161416,0.021683642966026758
wheat_volatility_x_linkage,0.02747558449282352,0.015890386,0.021682985224197822
gdp_growth_yoy,0.004428195077079445,0.03745712,0.020942657375284984
CRUDE_PETRO_volatility_3m,0.01397792750322581,0.026448697,0.020213312177478078
WHEAT_US_HRW_vol_12m,0.014596823564052702,0.024462063,0.019529443214774192
CRUDE_PETRO_lag1,0.01163088183516895,0.025386658,0.018508769700500544
CRUDE_PETRO_mom_change,0.012198886799404882,0.024377432,0.018288159259950053
CRUDE_PETRO_volatility_12m,0.011315662997148026,0.025062662,0.018189162307571168
ONI_lag_6m,0.006027984243828544,0.028765481,0.01739673260460222
oil_volatility_x_centrality,0.022131869929506245,0.012457317,0.01729459333542678
WHEAT_US_HRW_lag1,0.010843990563236663,0.02295513,0.01689956067447016
forward_linkage,0.018910526141289363,0.014568745,0.016739635649951047
closeness_centrality,0.01167364753301774,0.02179016,0.016731903699615767
ALUMINUM_mom_change,0.012218026854510776,0.021131402,0.01667471436804318
betweenness_centrality,0.018449524364430096,0.014781303,0.01661541356844623
COPPER_mom_change,0.012491127900223645,0.020651858,0.016571493100097135
COPPER_vol_3m,0.012357884168106771,0.02068799,0.01652293702934109
RICE_05_mom_change,0.013580308289098272,0.01943216,0.016506233714902167
ONI_lag_3m,0.00735903052543666,0.025542216,0.01645062345045341
pagerank,0.01833415181795323,0.014374085,0.01635411829431635
RICE_05_vol_3m,0.0130551415233781,0.019319737,0.016187439426728588
COPPER_vol_12m,0.008097631711742269,0.02252594,0.015311785901080066
WHEAT_US_HRW_vol_6m,0.009425208242133817,0.021150764,0.015287986160017829
RICE_05_vol_6m,0.01092141683344672,0.01937442,0.01514791884990846
COPPER_volatility_3m,0.010960297675427352,0.019295463,0.015127880506960827
COPPER_vol_6m,0.009809812083128283,0.020181766,0.014995788931490575
WHEAT_US_HRW_volatility_3m,0.007969126619846958,0.0214786,0.014723863709942171
wpi_(a)__food_articles,0.008846852457651473,0.020404331,0.0146255919218704
ALUMINUM_volatility_3m,0.00807119061539921,0.020262158,0.014166674079946442
CRUDE_PETRO_vol_3m,0.009661294337929754,0.018541347,0.014101320786685481
WHEAT_US_HRW_vol_3m,0.008531961238491727,0.017482776,0.013007368716651297
RICE_05_volatility_6m,0.0067865568189398005,0.018663922,0.012725239571858225
WHEAT_US_HRW_mom_change,0.008524378428308044,0.016862238,0.012693308127148884
month_cos,0.003143056642532703,0.022071116,0.012607086157560525
month_sin,0.003265675106579262,0.021459978,0.012362826590207317
CRUDE_PETRO_volatility_6m,0.006983472770910424,0.01724403,0.012113751280536732
ALUMINUM_vol_3m,0.010086492825304133,0.014030804,0.012058648375796607
Month_num,0.002934243892618967,0.021007875,0.011971059436593927
RICE_05_volatility_3m,0.004802636334294246,0.014440035,0.00962133589088627
quarter,0.0021173662769794046,0.014525934,0.008321650199741104
forward_x_metal,0.0031606178761920973,0.011149412,0.007155014948616507
oil_shock_x_pagerank,0.001448298167905501,0.010290701,0.005869499555091705
RICE_05_shock_any,5.2703702558512126e-05,0.0,2.6351851279256063e-05
CRUDE_PETRO_shock_negative,5.240746976060833e-05,0.0,2.6203734880304165e-05
COPPER_shock_positive,1.9012785110436387e-05,0.0,9.506392555218194e-06
ALUMINUM_shock_negative,0.0,0.0,0.0
