sector,MAE,Error_Std,Max_Error,Bias,Sample_Size
Manufacture of other transport equipment,52.7574,283.8345,2206.9528,37.3978,60
Manufacture of furniture,51.4404,285.7007,2224.5586,37.194,60
"Manufacture of motor vehicles, trailers and semi-trailers",51.3311,283.1814,2198.8725,39.1396,60
Manufacture of tobacco products,50.5356,284.4137,2213.3039,33.5991,60
Manufacture of leather and related products,48.3144,284.7083,2214.3968,31.8733,60
"Manufacture of fabricated metal products, except machinery and equipment",42.8293,256.6362,1995.5703,32.1729,60
Manufacture of electrical equipment,38.4339,177.5678,1385.8035,24.1472,60
Other manufacturing,30.9566,98.9625,770.7216,15.0178,60
Manufacture of beverages,29.1786,148.9045,1155.1839,18.742,60
"Manufacture of computer, electronic and optical products",28.3466,104.9427,817.3606,12.2199,60
Manufacture of machinery and equipment n.e.c.,25.3901,118.0332,918.4255,15.7745,60
Manufacture of wearing apparel,25.288,95.2083,744.1688,8.7267,60
Manufacture of textiles,24.5531,120.3526,926.9392,14.3791,60
Manufacture of other non-metallic mineral products,18.5146,82.0474,638.0308,9.9856,60
Manufacture of paper and paper products,13.6978,37.7629,288.4259,3.0094,60
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",12.0487,13.9632,95.0969,-0.0324,60
Printing and reproduction of recorded media,11.5496,23.583,178.0031,0.3562,60
Manufacture of basic metals,10.7851,39.3617,300.5005,5.2205,60
Manufacture of rubber and plastics products,10.5334,31.5262,240.971,3.0425,60
Manufacture of chemicals and chemical products,7.3163,15.7707,115.5995,1.1406,60
Manufacture of coke and refined petroleum products,5.8058,6.0069,35.7712,0.3375,60
Manufacture of food products,5.3541,4.6287,23.6413,-0.7096,60
