year_quarter,MAE,Error_Std,Bias,Sample_Size
2020-Q1,12.3149,12.2837,-7.3464,66
2020-Q2,35.5838,27.9536,-31.4951,66
2020-Q3,7.5425,5.9301,-1.1257,66
2020-Q4,8.7687,6.382,-1.2458,66
2021-Q1,16.4302,18.6038,9.9976,66
2021-Q2,348.2102,656.324,338.8773,66
2021-Q3,10.2623,9.9441,2.5774,66
2021-Q4,6.994,6.2519,-1.8192,66
2022-Q1,6.4128,6.8194,-1.185,66
2022-Q2,18.1171,23.5306,12.0544,66
2022-Q3,9.3476,9.9556,-5.923,66
2022-Q4,12.0002,9.0102,-2.7458,66
2023-Q1,5.7272,5.1414,-2.3283,66
2023-Q2,6.2794,6.0835,-0.5983,66
2023-Q3,5.4475,4.5742,-0.3104,66
2023-Q4,9.2987,8.5257,0.5871,66
2024-Q1,5.5966,4.8961,0.3573,66
2024-Q2,5.6915,5.6696,0.422,66
2024-Q3,4.9177,4.26,1.1522,66
2024-Q4,5.9302,5.6249,1.6741,66
